function,count,files
"btn_onclick","3","Form/EventMatrix.xfdl|Form/ExternalXjsBasic.xfdl|Form/ExternalXjsTopLevelInit.xfdl"
"fnAdd","5","Form/TabAddPage.xfdl|Form/TabAddPageWithArguments.xfdl|Form/TabDynamicIdCollision.xfdl|Form/TabDynamicSameScreenMultiInstance.xfdl|Form/TabLifecycleDynamicAdd.xfdl"
"fnArgs","2","Form/TabChildArguments.xfdl|Form/TabStateArgumentIsolation.xfdl"
"fnBad","2","Form/TabUnresolvedChildComponent.xfdl|Form/TabUnresolvedChildFunction.xfdl"
"fnCall","4","Form/TabLifecycleOnloadFailure.xfdl|Form/TabOnloadFailureHost.xfdl|Form/TabOpenerFunction.xfdl|Form/TabParentCallsChild.xfdl"
"fnChange","2","Form/TabPreloadDynamicUrl.xfdl|Form/TabStaticDynamicMixed.xfdl"
"fnCycle","4","Form/TabAsyncRemoveReAdd.xfdl|Form/TabCircularScreenDependency.xfdl|Form/TabRemoveReAdd.xfdl|Form/TabStateRemoveCleanup.xfdl"
"fnHost","5","Form/TabOwnerFrameComponent.xfdl|Form/TabOwnerFrameDataset.xfdl|Form/TabOwnerFrameFunction.xfdl|Form/TabOwnerFrameHost.xfdl|Form/TabParentShadowHost.xfdl"
"fnInsert","2","Form/TabInsertPage.xfdl|Form/TabInsertPageOverloads.xfdl"
"fnMarker","2","Form/TabLifecycleStaticEager.xfdl|Form/TabLifecycleStaticLazy.xfdl"
"fnOpen","7","Form/TabAsyncAddSetUrlCallChild.xfdl|Form/TabDynamicPathXjs.xfdl|Form/TabDynamicRuntimeOnly.xfdl|Form/TabDynamicServicePath.xfdl|Form/TabDynamicSetUrlConditional.xfdl|Form/TabDynamicSetUrlStatic.xfdl|Form/TabDynamicSetUrlVariable.xfdl"
"fnParent","4","Form/TabChildCallsParent.xfdl|Form/TabChildReadsParentComponent.xfdl|Form/TabChildReadsParentDataset.xfdl|Form/TabParentDirect.xfdl"
"fnRead","9","Form/TabAsyncLazyReadComponent.xfdl|Form/TabAsyncLazyReadDataset.xfdl|Form/TabAsyncLazySyncReturn.xfdl|Form/TabAsyncLoadedSyncReturn.xfdl|Form/TabEagerLifecycle.xfdl|Form/TabLazyLifecycle.xfdl|Form/TabParentReadsChildComponent.xfdl|Form/TabParentReadsChildDataset.xfdl|Form/TabSameScreenMultiInstance.xfdl"
"fnRemove","2","Form/TabLifecycleRemoveSelected.xfdl|Form/TabRemovePage.xfdl"
"fnReplace","5","Form/TabAsyncStaleLoadCallback.xfdl|Form/TabDynamicReplaceState.xfdl|Form/TabLifecycleSelectedReplace.xfdl|Form/TabLifecycleSetUrlReplace.xfdl|Form/TabStateUrlReplacement.xfdl"
"fnShadow","2","Form/TabOpenerBridge.xfdl|TabContent/ParentShadowChild.xfdl"
"fnSwitch","2","Form/TabStateRetention.xfdl|Form/TabStateSwitchRetention.xfdl"
"fnTooDeep","2","TabContent/ParentDepthThird.xfdl|TabContent/ParentDepthUnresolvedChild.xfdl"
"gfnDuplicate","2","Script/DupA.xjs|Script/DupB.xjs"
"read","2","Form/NestedContainer.xfdl|Form/TabContainer.xfdl"
"run","7","Form/ExternalXjsCircularDependency.xfdl|Form/ExternalXjsDependency.xfdl|Form/ExternalXjsDirectGlobal.xfdl|Form/ExternalXjsDuplicateFunction.xfdl|Form/ExternalXjsGlobalVariable.xfdl|Form/ExternalXjsSameFileDuplicate.xfdl|Form/ScopeShadowing.xfdl"
