source,function,line,called,resolution,targetFiles
"Form/ComponentMethodConversion.xfdl","m","1","trace","EXTERNAL_OR_API",""
"Form/ComponentMethodConversion.xfdl","m","1","getBindCellIndex","EXTERNAL_OR_API",""
"Form/ComponentMethodConversion.xfdl","m","1","getCellProperty","EXTERNAL_OR_API",""
"Form/ControlPropertyMatrix.xfdl","prop","1","trace","EXTERNAL_OR_API",""
"Form/ControlPropertyMatrix.xfdl","prop","1","set_index","EXTERNAL_OR_API",""
"Form/ControlPropertyMatrix.xfdl","prop","1","get_index","EXTERNAL_OR_API",""
"Form/DatasetBinding.xfdl","DatasetBinding_onload","2","addRow","EXTERNAL_OR_API",""
"Form/DatasetBinding.xfdl","DatasetBinding_onload","2","setColumn","EXTERNAL_OR_API",""
"Form/DatasetBinding.xfdl","DatasetBinding_onload","2","trace","EXTERNAL_OR_API",""
"Form/DatasetBinding.xfdl","DatasetBinding_onload","2","getColumn","EXTERNAL_OR_API",""
"Form/EventMatrix.xfdl","EventMatrix_onload","2","trace","EXTERNAL_OR_API",""
"Form/EventMatrix.xfdl","EventMatrix_onsize","3","trace","EXTERNAL_OR_API",""
"Form/ExternalXjsBasic.xfdl","btn_onclick","3","gfnHello","RESOLVED","Script/Common.xjs"
"Form/ExternalXjsCircularDependency.xfdl","run","3","gfnCycleA","RESOLVED","Script/CircularA.xjs"
"Form/ExternalXjsDependency.xfdl","run","3","gfnA","RESOLVED","Script/Common.xjs"
"Form/ExternalXjsDirectGlobal.xfdl","run","3","trace","EXTERNAL_OR_API",""
"Form/ExternalXjsDuplicateFunction.xfdl","run","4","gfnDuplicate","AMBIGUOUS","Script/DupA.xjs|Script/DupB.xjs"
"Form/ExternalXjsGlobalVariable.xfdl","run","3","trace","EXTERNAL_OR_API",""
"Form/ExternalXjsGlobalVariable.xfdl","run","3","gfnUser","RESOLVED","Script/Common.xjs"
"Form/ExternalXjsSameFileDuplicate.xfdl","run","3","gfnSameFile","RESOLVED","Script/SameFileDuplicate.xjs"
"Form/ExternalXjsTopLevelInit.xfdl","btn_onclick","3","gfnSideEffect","RESOLVED","Script/SideEffect.xjs"
"Form/GridAdvancedPhase3.xfdl","GridAdvancedPhase3_onload","2","trace","EXTERNAL_OR_API",""
