source,type,function,line,calls
"Form/ComponentMethodConversion.xfdl","XFDL","m","1","trace|getBindCellIndex|getCellProperty"
"Form/ControlPropertyMatrix.xfdl","XFDL","prop","1","trace|set_index|get_index"
"Form/DatasetBinding.xfdl","XFDL","DatasetBinding_onload","2","addRow|setColumn|trace|getColumn"
"Form/EventMatrix.xfdl","XFDL","EventMatrix_onload","2","trace"
"Form/EventMatrix.xfdl","XFDL","EventMatrix_onsize","3","trace"
"Form/EventMatrix.xfdl","XFDL","btn_onclick","4",""
"Form/EventMatrix.xfdl","XFDL","btn_ondblclick","5",""
"Form/EventMatrix.xfdl","XFDL","btn_onkeyup","6",""
"Form/EventMatrix.xfdl","XFDL","btn_onkeydown","7",""
"Form/EventMatrix.xfdl","XFDL","btn_onsetfocus","8",""
"Form/EventMatrix.xfdl","XFDL","btn_onkillfocus","9",""
"Form/EventMatrix.xfdl","XFDL","btn_onmouseenter","10",""
"Form/EventMatrix.xfdl","XFDL","btn_onmouseleave","11",""
"Form/EventMatrix.xfdl","XFDL","cbo_onitemchanged","12",""
"Form/EventMatrix.xfdl","XFDL","cbo_ondropdown","13",""
"Form/EventMatrix.xfdl","XFDL","cbo_oncloseup","14",""
"Form/ExternalXjsBasic.xfdl","XFDL","btn_onclick","3","gfnHello"
"Form/ExternalXjsCircularDependency.xfdl","XFDL","run","3","gfnCycleA"
"Form/ExternalXjsDependency.xfdl","XFDL","run","3","gfnA"
"Form/ExternalXjsDirectGlobal.xfdl","XFDL","run","3","trace"
"Form/ExternalXjsDuplicateFunction.xfdl","XFDL","run","4","gfnDuplicate"
"Form/ExternalXjsGlobalVariable.xfdl","XFDL","run","3","trace|gfnUser"
"Form/ExternalXjsSameFileDuplicate.xfdl","XFDL","run","3","gfnSameFile"
"Form/ExternalXjsTopLevelInit.xfdl","XFDL","btn_onclick","3","gfnSideEffect"
"Form/GridAdvancedPhase3.xfdl","XFDL","GridAdvancedPhase3_onload","2","trace"
"Form/NamespacePrefixed.xfdl","XFDL","NamespacePrefixed_onload","1","trace"
"Form/NestedContainer.xfdl","XFDL","read","1","trace"
"Form/ScopeShadowing.xfdl","XFDL","run","3","gfnShadow|gfnDatasetShadow"
"Form/ScopeShadowing.xfdl","XFDL","localTest","4","trace"
"Form/TabAddPage.xfdl","XFDL","fnAdd","2","addTabpage|set_url"
"Form/TabAddPageOverloads.xfdl","XFDL","fnOverloads","2","addTabpage"
"Form/TabAddPageWithArguments.xfdl","XFDL","fnAdd","2","addTabpage|set_url"
"Form/TabAsyncAddSetUrlCallChild.xfdl","XFDL","fnOpen","2","addTabpage|set_url|fnGetValue"
"Form/TabAsyncLazyCallChild.xfdl","XFDL","fnLazy","2","fnGetValue"
"Form/TabAsyncLazyReadComponent.xfdl","XFDL","fnRead","2",""
"Form/TabAsyncLazyReadDataset.xfdl","XFDL","fnRead","2","getRowCount"
"Form/TabAsyncLazySyncReturn.xfdl","XFDL","fnRead","2","fnGetValue"
"Form/TabAsyncLoadedSyncReturn.xfdl","XFDL","fnRead","2","fnGetValue"
"Form/TabAsyncRapidSelection.xfdl","XFDL","fnRapidSelect","2","set_tabindex"
"Form/TabAsyncRapidSetUrl.xfdl","XFDL","fnRapid","2","set_url"
"Form/TabAsyncRemoveReAdd.xfdl","XFDL","fnCycle","2","addTabpage|set_url|removeTabpage"
"Form/TabAsyncStaleLoadCallback.xfdl","XFDL","fnReplace","2","set_url"
"Form/TabChildArguments.xfdl","XFDL","fnArgs","2","addTabpage|set_url"
"Form/TabChildCallsParent.xfdl","XFDL","fnParent","2","trace"
"Form/TabChildReadsParentComponent.xfdl","XFDL","fnParent","2",""
"Form/TabChildReadsParentDataset.xfdl","XFDL","fnParent","2",""
"Form/TabCircularScreenDependency.xfdl","XFDL","fnCycle","2","trace"
"Form/TabContainer.xfdl","XFDL","read","1","trace"
"Form/TabContentIdIsolation.xfdl","XFDL","readParent","1","trace"
"Form/TabDynamicContent.xfdl","XFDL","changePage","2","set_url"
"Form/TabDynamicContent.xfdl","XFDL","changePage2","3",""
"Form/TabDynamicContent.xfdl","XFDL","mutate","4","addTabpage|removeTabpage"
"Form/TabDynamicIdCollision.xfdl","XFDL","fnAdd","2","addTabpage"
"Form/TabDynamicIndexedSetUrl.xfdl","XFDL","fnByIndex","2","set_url"
"Form/TabDynamicIndexedSetUrl.xfdl","XFDL","fnByName","3","set_url"
"Form/TabDynamicPathXjs.xfdl","XFDL","fnOpen","3","set_url"
"Form/TabDynamicReplaceState.xfdl","XFDL","fnReplace","2","set_url"
"Form/TabDynamicRuntimeOnly.xfdl","XFDL","fnOpen","2","set_url"
"Form/TabDynamicSameScreenMultiInstance.xfdl","XFDL","fnAdd","2","addTabpage|set_url"
"Form/TabDynamicSelection.xfdl","XFDL","fnSelect","2","set_tabindex"
"Form/TabDynamicServicePath.xfdl","XFDL","fnOpen","2","set_url"
"Form/TabDynamicSetUrlConditional.xfdl","XFDL","fnOpen","2","set_url"
"Form/TabDynamicSetUrlStatic.xfdl","XFDL","fnOpen","2","set_url"
"Form/TabDynamicSetUrlVariable.xfdl","XFDL","fnOpen","2","set_url"
"Form/TabEagerLifecycle.xfdl","XFDL","fnRead","2","fnGetValue"
"Form/TabExternalContent.xfdl","XFDL","mainFn","1","trace"
"Form/TabInlineContent.xfdl","XFDL","readInline","1","trace"
"Form/TabInsertPage.xfdl","XFDL","fnInsert","2","insertTabpage|set_url"
"Form/TabInsertPageOverloads.xfdl","XFDL","fnInsert","2","insertTabpage"
"Form/TabLazyLifecycle.xfdl","XFDL","fnRead","2","fnGetValue"
"Form/TabLifecycleDynamicAdd.xfdl","XFDL","fnAdd","2","addTabpage|set_url"
"Form/TabLifecycleInactiveReplace.xfdl","XFDL","fnReplaceInactive","2","set_url"
"Form/TabLifecycleOnloadFailure.xfdl","XFDL","fnCall","2","fnValue"
"Form/TabLifecycleRemoveSelected.xfdl","XFDL","fnRemove","2","set_tabindex|removeTabpage"
"Form/TabLifecycleSelectedReplace.xfdl","XFDL","fnReplace","2","set_tabindex|set_url"
"Form/TabLifecycleSetUrlReplace.xfdl","XFDL","fnReplace","2","set_url"
"Form/TabLifecycleStaticEager.xfdl","XFDL","fnMarker","2","trace"
"Form/TabLifecycleStaticLazy.xfdl","XFDL","fnMarker","2","trace"
"Form/TabNestedDynamic.xfdl","XFDL","fnTop","2","trace"
"Form/TabOnloadFailureHost.xfdl","XFDL","fnCall","2","fnValue"
"Form/TabOpenerBridge.xfdl","XFDL","fnOpener","2","fnCallback"
"Form/TabOpenerBridge.xfdl","XFDL","fnShadow","3","fnCallback"
"Form/TabOpenerFunction.xfdl","XFDL","fnCall","2","fnCallback"
"Form/TabOwnerFrameComponent.xfdl","XFDL","fnHost","2",""
"Form/TabOwnerFrameDataset.xfdl","XFDL","fnHost","2",""
"Form/TabOwnerFrameFunction.xfdl","XFDL","fnHost","2",""
"Form/TabOwnerFrameHost.xfdl","XFDL","fnHost","2",""
"Form/TabParentAccess.xfdl","XFDL","readChildFromParent","2","trace"
"Form/TabParentAndOpener.xfdl","XFDL","fnBoth","2","fnParent|fnCallback"
"Form/TabParentCallsChild.xfdl","XFDL","fnCall","2","fnSearch|trace"
"Form/TabParentCallsChildIndexed.xfdl","XFDL","fnCallIndex","2","fnSearch"
"Form/TabParentCallsChildIndexed.xfdl","XFDL","fnCallName","3","fnSearch"
"Form/TabParentDepth2.xfdl","XFDL","fnRoot2","1",""
"Form/TabParentDepth3.xfdl","XFDL","fnRoot3","1",""
"Form/TabParentDepthMain.xfdl","XFDL","fnMain","2",""
"Form/TabParentDirect.xfdl","XFDL","fnParent","2",""
"Form/TabParentReadsChildComponent.xfdl","XFDL","fnRead","2","trace"
"Form/TabParentReadsChildDataset.xfdl","XFDL","fnRead","2","trace|getRowCount|getColumn"
"Form/TabParentShadowHost.xfdl","XFDL","fnHost","2",""
"Form/TabParentUnresolvedDepth.xfdl","XFDL","fnRoot","1",""
"Form/TabPreloadDynamicUrl.xfdl","XFDL","fnChange","2","set_url"
"Form/TabRemovePage.xfdl","XFDL","fnRemove","2","removeTabpage"
"Form/TabRemoveReAdd.xfdl","XFDL","fnCycle","2","addTabpage|set_url|removeTabpage"
"Form/TabRuntimeEvent.xfdl","XFDL","tabMain_canchange","2","trace"
"Form/TabRuntimeEvent.xfdl","XFDL","tabMain_onchanged","3","trace"
"Form/TabRuntimeLexicalProtection.xfdl","XFDL","fnSafe","2","trace|test"
"Form/TabSameScreenMultiInstance.xfdl","XFDL","fnRead","2","trace"
"Form/TabStateArgumentIsolation.xfdl","XFDL","fnArgs","2","addTabpage|set_url"
"Form/TabStateGenerationIsolation.xfdl","XFDL","fnGen","2","set_url"
"Form/TabStateRemoveCleanup.xfdl","XFDL","fnCycle","2","addTabpage|set_url|removeTabpage"
"Form/TabStateRetention.xfdl","XFDL","fnSwitch","2","set_tabindex"
"Form/TabStateSameScreenMultiInstance.xfdl","XFDL","fnState","2",""
"Form/TabStateSwitchRetention.xfdl","XFDL","fnSwitch","2","set_tabindex"
"Form/TabStateUrlReplacement.xfdl","XFDL","fnReplace","2","set_url"
"Form/TabStateXjsGlobalIsolation.xfdl","XFDL","fnCheck","2","fnNext"
"Form/TabStaticDynamicMixed.xfdl","XFDL","fnChange","2","set_url"
"Form/TabUnresolvedChildComponent.xfdl","XFDL","fnBad","2","trace"
"Form/TabUnresolvedChildFunction.xfdl","XFDL","fnBad","2","fnUnknown"
"Form/TransactionSample.xfdl","XFDL","search","2","transaction"
"Form/TransactionSample.xfdl","XFDL","fnCallback","3","trace"
"Form/UnsupportedFeatures.xfdl","XFDL","x","1","gfnUnknown|open|setTimer"
"Script/CircularA.xjs","XJS","gfnCycleA","2","gfnCycleB"
"Script/CircularB.xjs","XJS","gfnCycleB","2","gfnCycleA"
"Script/Common.xjs","XJS","gfnHello","3","trace"
"Script/Common.xjs","XJS","gfnA","7","gfnB"
"Script/Common.xjs","XJS","gfnUser","11",""
"Script/Common.xjs","XJS","gfnUnused","15","trace"
"Script/DupA.xjs","XJS","gfnDuplicate","1","trace"
"Script/DupB.xjs","XJS","gfnDuplicate","1","trace"
"Script/SameFileDuplicate.xjs","XJS","gfnSameFile","1","trace"
"Script/ScopeHelper.xjs","XJS","gfnShadow","1","trace"
"Script/ScopeHelper.xjs","XJS","gfnDatasetShadow","7","trace|getColumn"
"Script/SideEffect.xjs","XJS","gfnSideEffect","3","trace"
"Script/TabChildCommon.xjs","XJS","gfnChildLoaded","1","trace"
"Script/TabCommon.xjs","XJS","gfnTabSearch","1","trace"
"Script/TabRuntimeCommon.xjs","XJS","gfnRuntimePath","2",""
"Script/TabRuntimeState.xjs","XJS","gfnNextChildCounter","2",""
"Script/Utility.xjs","XJS","gfnB","2","trace"
"Script/Utility.xjs","XJS","gfnValidate","6",""
"TabContent/ChildBridgeParent.xfdl","XFDL","fnChildCallParent","2","fnParent"
"TabContent/ChildBridgeParent.xfdl","XFDL","fnChildReadParent","3","trace|getRowCount"
"TabContent/CircularTabA.xfdl","XFDL","fa","2","trace"
"TabContent/CircularTabB.xfdl","XFDL","fb","2","trace"
"TabContent/Detail.xfdl","XFDL","detailFn","1","trace"
"TabContent/IdIsolationChild.xfdl","XFDL","readChild","1","trace"
"TabContent/LifecycleChild.xfdl","XFDL","LifecycleChild_onload","1","trace"
"TabContent/NestedDynamicFirst.xfdl","XFDL","openSecond","2","set_url"
"TabContent/OnloadFailureChild.xfdl","XFDL","OnloadFailureChild_onload","2","Error"
"TabContent/OnloadFailureChild.xfdl","XFDL","fnValue","3",""
"TabContent/OwnerBridgeChild.xfdl","XFDL","fnLocalOwner","2",""
"TabContent/OwnerBridgeChild.xfdl","XFDL","fnOwnerCalls","3","getOwnerFrame|fnLocalOwner|getRowCount"
"TabContent/OwnerBridgeChild.xfdl","XFDL","fnOwnerParent","4","getOwnerFrame|fnHost"
"TabContent/ParentAccessChild.xfdl","XFDL","childOwner","2","getOwnerFrame|trace"
"TabContent/ParentDepth2First.xfdl","XFDL","fnFirst2","1",""
"TabContent/ParentDepth2Second.xfdl","XFDL","fnDepth2","1","fnFirst2|fnRoot2"
"TabContent/ParentDepth3First.xfdl","XFDL","fnFirst3","1",""
"TabContent/ParentDepth3Second.xfdl","XFDL","fnSecond3","1",""
"TabContent/ParentDepth3Third.xfdl","XFDL","fnDepth3","1","fnSecond3|fnFirst3|fnRoot3"
"TabContent/ParentDepthFirst.xfdl","XFDL","fnFirst","2",""
"TabContent/ParentDepthSecond.xfdl","XFDL","fnSecond","2",""
"TabContent/ParentDepthThird.xfdl","XFDL","fnDepth","2","fnSecond|fnFirst|fnMain"
