source,type,status,reason
"Form/ComponentMethodConversion.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/ControlPropertyMatrix.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/DatasetBinding.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/EventMatrix.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/ExternalXjsBasic.xfdl","XFDL","SUCCESS",""
"Form/ExternalXjsCircularDependency.xfdl","XFDL","SUCCESS",""
"Form/ExternalXjsDependency.xfdl","XFDL","SUCCESS",""
"Form/ExternalXjsDirectGlobal.xfdl","XFDL","SUCCESS",""
"Form/ExternalXjsDuplicateFunction.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/ExternalXjsGlobalVariable.xfdl","XFDL","SUCCESS",""
"Form/ExternalXjsSameFileDuplicate.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/ExternalXjsTopLevelInit.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/GridAdvancedPhase3.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/Main/TabExternalRelativePath.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/NamespacePrefixed.xfdl","XFDL","SUCCESS",""
"Form/NestedContainer.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/ScopeShadowing.xfdl","XFDL","SUCCESS",""
"Form/TabAddPage.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAddPageOverloads.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAddPageWithArguments.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAsyncAddSetUrlCallChild.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAsyncLazyCallChild.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAsyncLazyReadComponent.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAsyncLazyReadDataset.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAsyncLazySyncReturn.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAsyncLoadedSyncReturn.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAsyncRapidSelection.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAsyncRapidSetUrl.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAsyncRemoveReAdd.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabAsyncStaleLoadCallback.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabChildArguments.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabChildCallsParent.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabChildReadsParentComponent.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabChildReadsParentDataset.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
"Form/TabCircularScreenDependency.xfdl","XFDL","PARTIAL","TODO/partial/unresolved/API review/transaction exists"
