parentScreen,tab,tabPage,content,resolvedFile,generatedTarget,webSquareSrc,loadingMode,status,resolutionMethod,xjsDependencies,warning
"Form/Main/TabExternalRelativePath.xfdl","divWrap.tabNested","divWrap.tabNested.pageSearch","../../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/Main/TabExternalRelativePath.xfdl","divWrap.tabNested","divWrap.tabNested.pageDetail","..\\..\\TabContent\\Detail.xfdl","TabContent/Detail.xfdl","TabContent/Detail.xml","../../TabContent/Detail.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/Main/TabExternalRelativePath.xfdl","divWrap.tabNested","divWrap.tabNested.pageProject","TabContent/SecondTab.xfdl","TabContent/SecondTab.xfdl","TabContent/SecondTab.xml","../../TabContent/SecondTab.xml","LAZY","CONVERTED","PROJECT_RELATIVE","[]","프로젝트 루트 기준 경로"
"Form/TabAsyncLazyCallChild.xfdl","tabMain","tabMain.pageChild","../TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[Script/TabChildCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabAsyncLazyReadComponent.xfdl","tabMain","tabMain.pageChild","../TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[Script/TabChildCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabAsyncLazyReadDataset.xfdl","tabMain","tabMain.pageChild","../TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[Script/TabChildCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabAsyncLazySyncReturn.xfdl","tabMain","tabMain.child","../TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[Script/TabChildCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabAsyncLoadedSyncReturn.xfdl","tabMain","tabMain.child","../TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","EAGER","CONVERTED","RELATIVE","[Script/TabChildCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabAsyncRapidSelection.xfdl","tabMain","tabMain.A","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabAsyncRapidSelection.xfdl","tabMain","tabMain.B","../TabContent/Detail.xfdl","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabAsyncRapidSelection.xfdl","tabMain","tabMain.C","../TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[Script/TabChildCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabAsyncRapidSetUrl.xfdl","tabMain","tabMain.pageA","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabAsyncStaleLoadCallback.xfdl","tabMain","tabMain.pageA","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabChildCallsParent.xfdl","tabMain","tabMain.pageChild","../TabContent/ChildBridgeParent.xfdl","TabContent/ChildBridgeParent.xfdl","TabContent/ChildBridgeParent.xml","../TabContent/ChildBridgeParent.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabChildReadsParentComponent.xfdl","tabMain","tabMain.pageChild","../TabContent/ChildBridgeParent.xfdl","TabContent/ChildBridgeParent.xfdl","TabContent/ChildBridgeParent.xml","../TabContent/ChildBridgeParent.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabChildReadsParentDataset.xfdl","tabMain","tabMain.pageChild","../TabContent/ChildBridgeParent.xfdl","TabContent/ChildBridgeParent.xfdl","TabContent/ChildBridgeParent.xml","../TabContent/ChildBridgeParent.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabCircularScreenDependency.xfdl","tabMain","tabMain.cycle","../TabContent/CircularTabA.xfdl","TabContent/CircularTabA.xfdl","TabContent/CircularTabA.xml","../TabContent/CircularTabA.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabContentIdIsolation.xfdl","tabIso","tabIso.pageChild","../TabContent/IdIsolationChild.xfdl","TabContent/IdIsolationChild.xfdl","TabContent/IdIsolationChild.xml","../TabContent/IdIsolationChild.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabContentLifecycle.xfdl","tabLife","tabLife.pageLife","../TabContent/LifecycleChild.xfdl","TabContent/LifecycleChild.xfdl","TabContent/LifecycleChild.xml","../TabContent/LifecycleChild.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabDuplicateContent.xfdl","tabDup","tabDup.pageA","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabDuplicateContent.xfdl","tabDup","tabDup.pageB","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabDynamicReplaceState.xfdl","tabMain","tabMain.search","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabEagerLifecycle.xfdl","tabMain","tabMain.pageChild","../TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","EAGER","CONVERTED","RELATIVE","[Script/TabChildCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabExternalContent.xfdl","tabMain","tabMain.tabSearch","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabExternalContent.xfdl","tabMain","tabMain.tabDetail","TabForm::Detail.xfdl","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","CONVERTED","SERVICE_PREFIX","[]","TypeDefinition Service url 기준"
