source,function,direction,target,tab,page,symbol,type,status,line,parentDepth,message
"Form/TabAsyncAddSetUrlCallChild.xfdl","fnOpen","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageA","fnGetValue","FUNCTION","RUNTIME_VERIFY_REQUIRED","2","0","lazy child 함수 호출은 activateTab 이후 Promise 반환 가능"
"Form/TabAsyncLazyCallChild.xfdl","fnLazy","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","fnGetValue","FUNCTION","RUNTIME_VERIFY_REQUIRED","2","0","lazy child 함수 호출은 activateTab 이후 Promise 반환 가능"
"Form/TabAsyncLazyReadComponent.xfdl","fnRead","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","edtName","COMPONENT","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabAsyncLazyReadDataset.xfdl","fnRead","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","dsSearch","DATASET","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabAsyncLazySyncReturn.xfdl","fnRead","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","child","fnGetValue","FUNCTION","RUNTIME_VERIFY_REQUIRED","2","0","lazy child 함수 호출은 activateTab 이후 Promise 반환 가능"
"Form/TabAsyncLoadedSyncReturn.xfdl","fnRead","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","child","fnGetValue","FUNCTION","RESOLVED","2","0",""
"Form/TabEagerLifecycle.xfdl","fnRead","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","fnGetValue","FUNCTION","RESOLVED","2","0",""
"Form/TabLazyLifecycle.xfdl","fnRead","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","fnGetValue","FUNCTION","RUNTIME_VERIFY_REQUIRED","2","0","lazy child 함수 호출은 activateTab 이후 Promise 반환 가능"
"Form/TabLifecycleOnloadFailure.xfdl","fnCall","PARENT_TO_CHILD","TabContent/OnloadFailureChild.xfdl","tabMain","child","fnValue","FUNCTION","RUNTIME_VERIFY_REQUIRED","2","0","lazy child 함수 호출은 activateTab 이후 Promise 반환 가능"
"Form/TabOnloadFailureHost.xfdl","fnCall","PARENT_TO_CHILD","TabContent/OnloadFailureChild.xfdl","tabMain","failChild","fnValue","FUNCTION","RUNTIME_VERIFY_REQUIRED","2","0","lazy child 함수 호출은 activateTab 이후 Promise 반환 가능"
