screen,function,line,operation,tab,tabPage,expression,resolvedSource,target,webSquareSrc,loading,status,message
"Form/TabAddPage.xfdl","fnAdd","2","SET_URL","tabMain","tabA","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabAddPage.xfdl","fnAdd","2","ADD_PAGE","tabMain","tabA","","","","","LAZY","SUPPORTED",""
"Form/TabAddPageOverloads.xfdl","fnOverloads","2","ADD_PAGE","tabMain","A","","","","","LAZY","SUPPORTED",""
"Form/TabAddPageOverloads.xfdl","fnOverloads","2","ADD_PAGE","tabMain","B","","","","","LAZY","SUPPORTED",""
"Form/TabAddPageOverloads.xfdl","fnOverloads","2","ADD_PAGE","tabMain","C","","","","","LAZY","SUPPORTED",""
"Form/TabAddPageWithArguments.xfdl","fnAdd","2","SET_URL","tabMain","argPage","""../TabContent/RuntimeBridgeChild.xfdl""","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","SUPPORTED",""
"Form/TabAddPageWithArguments.xfdl","fnAdd","2","ADD_PAGE","tabMain","argPage","","","","","LAZY","SUPPORTED",""
"Form/TabAsyncAddSetUrlCallChild.xfdl","fnOpen","2","SET_URL","tabMain","pageA","""../TabContent/RuntimeBridgeChild.xfdl""","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","SUPPORTED",""
"Form/TabAsyncAddSetUrlCallChild.xfdl","fnOpen","2","ADD_PAGE","tabMain","pageA","","","","","LAZY","SUPPORTED",""
"Form/TabAsyncRapidSelection.xfdl","fnRapidSelect","2","SELECT_PAGE","tabMain","","","","","","LAZY","SUPPORTED",""
"Form/TabAsyncRapidSelection.xfdl","fnRapidSelect","2","SELECT_PAGE","tabMain","","","","","","LAZY","SUPPORTED",""
"Form/TabAsyncRapidSelection.xfdl","fnRapidSelect","2","SELECT_PAGE","tabMain","","","","","","LAZY","SUPPORTED",""
"Form/TabAsyncRapidSetUrl.xfdl","fnRapid","2","SET_URL","tabMain","pageA","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabAsyncRapidSetUrl.xfdl","fnRapid","2","SET_URL","tabMain","pageA","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabAsyncRemoveReAdd.xfdl","fnCycle","2","SET_URL","tabMain","A","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabAsyncRemoveReAdd.xfdl","fnCycle","2","SET_URL","tabMain","A","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabAsyncRemoveReAdd.xfdl","fnCycle","2","ADD_PAGE","tabMain","A","","","","","LAZY","SUPPORTED",""
"Form/TabAsyncRemoveReAdd.xfdl","fnCycle","2","ADD_PAGE","tabMain","A","","","","","LAZY","SUPPORTED",""
"Form/TabAsyncRemoveReAdd.xfdl","fnCycle","2","REMOVE_PAGE","tabMain","A","","","","","LAZY","SUPPORTED",""
"Form/TabAsyncStaleLoadCallback.xfdl","fnReplace","2","SET_URL","tabMain","pageA","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabAsyncStaleLoadCallback.xfdl","fnReplace","2","SET_URL","tabMain","pageA","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabAsyncStaleLoadCallback.xfdl","fnReplace","2","SET_URL","tabMain","pageA","""../TabContent/History.xfdl""","","","","LAZY","UNRESOLVED","프로젝트 source tree에서 대상 XFDL을 찾지 못함: ../TabContent/History.xfdl"
"Form/TabChildArguments.xfdl","fnArgs","2","SET_URL","tabMain","argPage","""../TabContent/RuntimeBridgeChild.xfdl""","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","SUPPORTED",""
"Form/TabChildArguments.xfdl","fnArgs","2","ADD_PAGE","tabMain","argPage","","","","","LAZY","SUPPORTED",""
"Form/TabDynamicContent.xfdl","changePage","2","SET_URL","tabDynamic","pageA","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabDynamicContent.xfdl","mutate","4","ADD_PAGE","tabDynamic","pageB","","","","","LAZY","SUPPORTED",""
"Form/TabDynamicContent.xfdl","mutate","4","REMOVE_PAGE","tabDynamic","pageA","","","","","LAZY","SUPPORTED",""
