screen,kind,name,detail
"Form/ExternalXjsBasic.xfdl","MODULE","Script/Common.xjs","resolved"
"Form/ExternalXjsBasic.xfdl","FUNCTION","gfnHello","imported"
"Form/ExternalXjsCircularDependency.xfdl","MODULE","Script/CircularA.xjs","resolved"
"Form/ExternalXjsCircularDependency.xfdl","MODULE","Script/CircularB.xjs","resolved"
"Form/ExternalXjsCircularDependency.xfdl","FUNCTION","gfnCycleA","imported"
"Form/ExternalXjsCircularDependency.xfdl","FUNCTION","gfnCycleB","imported"
"Form/ExternalXjsDependency.xfdl","MODULE","Script/Common.xjs","resolved"
"Form/ExternalXjsDependency.xfdl","MODULE","Script/Utility.xjs","resolved"
"Form/ExternalXjsDependency.xfdl","FUNCTION","gfnA","imported"
"Form/ExternalXjsDependency.xfdl","FUNCTION","gfnB","imported"
"Form/ExternalXjsDependency.xfdl","GLOBAL","gvUserId","imported"
"Form/ExternalXjsDirectGlobal.xfdl","MODULE","Script/Utility.xjs","resolved"
"Form/ExternalXjsDirectGlobal.xfdl","GLOBAL","gvUserId","imported"
"Form/ExternalXjsDuplicateFunction.xfdl","AMBIGUOUS","FUNCTION gfnDuplicate -> Script/DupA.xjs:1|Script/DupB.xjs:1",""
"Form/ExternalXjsGlobalVariable.xfdl","MODULE","Script/Common.xjs","resolved"
"Form/ExternalXjsGlobalVariable.xfdl","MODULE","Script/Utility.xjs","resolved"
"Form/ExternalXjsGlobalVariable.xfdl","FUNCTION","gfnUser","imported"
"Form/ExternalXjsGlobalVariable.xfdl","GLOBAL","gvUserId","imported"
"Form/ExternalXjsSameFileDuplicate.xfdl","AMBIGUOUS","FUNCTION gfnSameFile -> Script/SameFileDuplicate.xjs:1|Script/SameFileDuplicate.xjs:2",""
"Form/ExternalXjsTopLevelInit.xfdl","MODULE","Script/SideEffect.xjs","resolved"
"Form/ExternalXjsTopLevelInit.xfdl","FUNCTION","gfnSideEffect","imported"
"Form/ExternalXjsTopLevelInit.xfdl","GLOBAL","gvSide","imported"
"Form/ScopeShadowing.xfdl","MODULE","Script/ScopeHelper.xjs","resolved"
"Form/ScopeShadowing.xfdl","FUNCTION","gfnShadow","imported"
"Form/ScopeShadowing.xfdl","FUNCTION","gfnDatasetShadow","imported"
"Form/TabDynamicPathXjs.xfdl","MODULE","Script/TabRuntimeCommon.xjs","resolved"
"Form/TabDynamicPathXjs.xfdl","GLOBAL","gvRuntimePath","imported"
"Form/UnsupportedFeatures.xfdl","UNRESOLVED_FUNCTION","gfnUnknown",""
"TabContent/OnloadFailureChild.xfdl","UNRESOLVED_FUNCTION","Error",""
"TabContent/RuntimeBridgeChild.xfdl","MODULE","Script/TabChildCommon.xjs","resolved"
"TabContent/RuntimeBridgeChild.xfdl","FUNCTION","gfnChildLoaded","imported"
"TabContent/SearchXjs.xfdl","MODULE","Script/TabCommon.xjs","resolved"
"TabContent/SearchXjs.xfdl","FUNCTION","gfnTabSearch","imported"
"TabContent/StateXjsChild.xfdl","MODULE","Script/TabRuntimeState.xjs","resolved"
"TabContent/StateXjsChild.xfdl","FUNCTION","gfnNextChildCounter","imported"
"TabContent/StateXjsChild.xfdl","GLOBAL","gvChildCounter","imported"
